total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
2.86102e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,65,
4.69685e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.310388,0,1,0,0,1,0,0,0,0,0,65,0:1;
0.000128984,0,1.19209e-06,0,9.53674e-07,10,2.86102e-06,10,3.09944e-06,10,6.19888e-06,0,0,0,0,0.01,0.309124,1,10,0,792,9,0,0,0,0,0,65,0:1;1:9;
0.000217915,0.000136852,1.19209e-06,0.000113964,4.76837e-06,79,1.07288e-05,78,1.14441e-05,79,4.45843e-05,1,1.90735e-06,0,0,0.01,0.309124,1,79,1,6864,78,1,0,0,0,0,65,1:78;
0.000267029,0.000136852,1.19209e-06,0.000113964,4.76837e-06,79,1.07288e-05,78,1.14441e-05,79,4.45843e-05,1,1.90735e-06,0,0,0.01,0.309124,1,79,1,6864,78,1,0,0,0,0,55,1:78;
0.000294924,0.000136852,3.09944e-06,0.000113964,4.76837e-06,92,1.28746e-05,91,1.23978e-05,91,4.55379e-05,1,6.91414e-06,0,0,0.0375219,0.309111,2,91,1,7920,89,1,0,0,0,0,55,1:78;2:12;
0.000396013,0.000252008,3.09944e-06,0.000226974,9.53674e-06,157,2.16961e-05,155,1.64509e-05,156,0.000102043,2,1.35899e-05,0,0,0.0375219,0.309111,2,156,2,13640,154,1,0,0,0,0,55,1:77;2:77;
0.000472069,0.000252008,3.09944e-06,0.000226974,9.53674e-06,157,2.16961e-05,155,1.64509e-05,156,0.000102043,2,1.35899e-05,0,0,0.0375219,0.309111,2,156,2,13640,154,1,0,0,0,0,55,1:77;2:77;
0.018496,0.0180371,0.000159502,0.0177817,0.00128984,17339,0.00302458,16833,0.00173593,16492,0.00626302,232,0.00271583,0,0,0.0975845,0.305344,3,16490,230,1451208,16259,1,0,0,0,0,55,1:75;2:188;3:2953;4:12146;5:898;
0.0186169,0.0181661,0.000159502,0.0179107,0.0012958,17408,0.00303578,16900,0.00173998,16560,0.00628185,233,0.00272775,0,0,0.0975845,0.305344,3,16558,231,1457192,16327,1,0,0,0,0,55,1:75;2:187;3:3021;4:12146;5:898;
0.0238349,0.0181661,0.000159502,0.0179107,0.0012958,17408,0.00303578,16900,0.00173998,16560,0.00628185,233,0.00272775,0,0,0.0975845,0.305344,3,16558,231,1457192,16327,1,0,0,0,0,54,1:75;2:185;3:3012;4:12042;5:870;
0.070569,0.0637684,0.00106549,0.0628722,0.00541568,68582,0.0111327,63405,0.00671673,59870,0.0179806,1000,0.01035,0,0,0.182666,0.305344,3,59850,983,5268208,58867,1,0,0,0,0,54,1:75;2:151;3:5409;4:12838;5:13636;6:21249;7:5369;
0.111739,0.10408,0.00178838,0.102636,0.00887728,115782,0.0180428,106309,0.0111139,100100,0.0294058,1695,0.0168605,0,0,0.0913141,0.305344,3,100057,1655,8808448,98402,1,0,0,0,0,54,1:63;2:969;3:11747;4:17808;5:22928;6:33675;7:7598;8:3474;
0.127894,0.10408,0.00178838,0.102636,0.00887728,115782,0.0180428,106309,0.0111139,100100,0.0294058,1695,0.0168605,0,0,0.0913141,0.305344,3,99917,1655,8796128,98402,1,0,0,0,0,54,1:63;2:969;3:11747;4:17808;5:22928;6:33675;7:7598;8:3474;
0.128178,0.10408,0.00178838,0.102636,0.00887728,115782,0.0180428,106309,0.0111139,100100,0.0294058,1695,0.0168605,0,0,0.0913141,0.305344,3,99917,1655,8796128,98402,1,0,0,0,0,54,1:63;2:969;3:11747;4:17808;5:22928;6:33675;7:7598;8:3474;
